"plot_visit","status","basal_area","density","qmd"
"nc07_2002_01_05","l",31.5,250,40.1
"nc07_2002_01_05","d",0.7,30,17.2
"nc07_2002_01_06","l",31.5,250,40.1
"nc07_2002_01_06","d",0.7,30,17.2
"nc07_2007_02_01","l",31.2,120,57.5
"nc07_2011_04_15","l",32.4,120,58.6
"nc07_2011_04_15","d",4.2,10,72.7
"nc07_2016_04_20","l",25.1,90,59.6
"nc07_2016_04_20","d",11.7,50,61
"nc08_1996_-1_-1","l",21.3,230,34.3
"nc08_1996_-1_-1","d",2.4,10,55.5
"nc08_1996_01_00","l",21.2,220,35
"nc08_1996_01_00","d",2.5,20,40.2
"nc08_1997_01_01","l",21.1,210,35.8
"nc08_1997_01_01","d",0.1,10,12.4
"nc08_1998_01_02","l",20.5,200,36.2
"nc08_1998_01_02","d",1.4,20,30.7
"nc08_2002_01_05","l",21.4,210,36
"nc08_2002_01_05","d",1.3,10,41.4
"nc08_2002_01_06","l",21.4,210,36
"nc08_2002_01_06","d",1.3,10,41.4
"nc08_2007_02_01","l",20.9,100,51.6
"nc08_2007_02_01","d",1.3,10,41.1
"nc08_2011_04_15","l",21.9,90,55.7
"nc08_2011_04_15","d",1.3,10,41
"nc08_2016_04_20","l",23,100,54.1
"nc08_2016_04_20","d",1.3,10,41
"nc09_1997_-2_-2","l",12,280,23.2
"nc09_1997_-2_-2","d",1.2,30,22.3
"nc09_2000_-1_-1","l",12.5,280,23.9
"nc09_2000_-1_-1","d",1.2,20,28.2
"nc09_2002_02_01","l",12.5,230,26.2
"nc09_2002_02_01","d",1.1,10,37.6
"nc09_2006_04_01","l",12.5,200,28.2
"nc09_2006_04_01","d",0.9,20,23.7
"nc09_2007_04_02","l",12.7,200,28.4
"nc09_2007_04_02","d",1,50,15.7
"nc09_2010_04_05","l",13.4,200,29.2
"nc09_2010_04_05","d",0.9,20,23.7
"nc09_2015_04_10","l",11.9,200,27.5
"nc09_2015_04_10","d",2.9,30,35.1
"nc09_2020_04_15","l",10.3,160,28.7
"nc09_2020_04_15","d",4.9,70,29.8
"nc10_1997_-2_-2","l",35.6,320,37.6
"nc10_1997_-2_-2","d",3.1,90,20.9
"nc10_2000_-1_-1","l",36.8,320,38.3
"nc10_2000_-1_-1","d",3.1,90,21.1
"nc10_2002_02_01","l",30.1,210,42.7
"nc10_2002_02_01","d",0.5,20,17.9
"nc10_2004_04_01","l",33.4,190,47.3
"nc10_2004_04_01","d",1.4,50,18.8
"nc10_2005_04_02","l",33.7,190,47.5
"nc10_2005_04_02","d",1.4,50,18.8
"nc10_2008_04_05","l",30.4,160,49.2
"nc10_2008_04_05","d",5.1,80,28.4
"nc10_2013_04_10","l",29.4,150,49.9
"nc10_2013_04_10","d",0,50,37
"nc10_2018_04_15","l",26.8,130,51.2
"nc10_2018_04_15","d",0,70,40.3
"nc11_1997_-2_-2","l",22.4,610,21.6
"nc11_1997_-2_-2","d",6.2,20,62.8
"nc11_2000_-1_-1","l",22.2,520,23.3
"nc11_2000_-1_-1","d",7.3,90,32.1
"nc11_2002_02_01","l",14.1,160,33.5
"nc11_2002_02_01","d",9.2,80,38.4
"nc11_2004_04_01","l",12.7,140,34.1
"nc11_2004_04_01","d",5.6,90,28.1
"nc11_2005_04_02","l",13,140,34.4
"nc11_2005_04_02","d",5.6,90,28.1
"nc11_2013_04_10","l",12.9,130,35.6
"nc11_2013_04_10","d",0,80,34.6
"nc11_2018_04_15","l",13.7,130,36.5
"nc11_2018_04_15","d",0,80,34.6
"nc12_1997_-2_-2","l",11.4,250,24.2
"nc12_1997_-2_-2","d",2.9,20,43
"nc12_2000_-1_-1","l",12,250,24.8
"nc12_2000_-1_-1","d",2.8,20,42.6
"nc12_2002_02_01","l",10.7,150,30.1
"nc12_2002_02_01","d",2.9,20,42.7
"nc12_2007_02_05","l",10.7,150,30.1
"nc12_2007_02_05","d",0,20,0
"nc12_2008_02_02","l",10.8,150,30.3
"nc12_2008_02_02","d",2.9,20,42.7
"nc14_1998_-1_-1","l",43,450,34.9
"nc14_1998_-1_-1","d",6.2,110,26.8
"nc14_2002_02_01","l",35.6,240,43.5
"nc14_2002_02_01","d",3.4,40,32.9
"nc14_2004_04_01","l",36.2,240,43.8
"nc14_2004_04_01","d",3.6,40,33.8
"nc14_2005_04_02","l",37.1,240,44.3
"nc14_2005_04_02","d",3.6,40,33.8
"nc14_2008_04_05","l",37.6,240,44.6
"nc14_2008_04_05","d",0,30,39.5
"nc14_2013_04_10","l",40.8,250,45.6
"nc14_2013_04_10","d",2.5,20,39.5
"nc14_2018_04_15","l",40.3,240,46.2
"nc14_2018_04_15","d",3.8,30,40.2
"nc16_2001_-1_-1","l",62.9,370,46.5
"nc16_2001_-1_-1","d",2,110,15.2
"nc16_2002_02_01","l",62.2,320,49.7
"nc16_2002_02_01","d",0.3,10,19.6
"nc17_1998_-1_-1","l",27.4,380,30.3
"nc17_1998_-1_-1","d",2.6,40,28.9
"nc17_2001_02_01","l",25.7,270,34.8
"nc17_2001_02_01","d",2.2,50,23.6
"nc17_2003_04_01","l",24,260,34.3
"nc17_2003_04_01","d",3.8,50,31.2
"nc17_2004_04_02","l",24.1,260,34.4
"nc17_2004_04_02","d",3.8,50,31.1
"nc17_2007_04_05","l",28.3,280,35.9
"nc17_2007_04_05","d",0,40,36.5
"nc19_1997_-1_-1","l",27.7,870,20.1
"nc19_1997_-1_-1","d",0.3,70,6.5
"nc19_2002_02_01","l",23.7,310,31.2
"nc19_2002_02_01","d",0,10,5.5
"nc19_2004_04_01","l",23.6,280,32.7
"nc19_2004_04_01","d",0.4,40,11.6
"nc19_2005_04_02","l",23.9,280,33
"nc19_2005_04_02","d",0.4,40,11.6
"nc19_2008_04_05","l",25.6,300,32.9
"nc19_2008_04_05","d",0.2,10,14.5
"nc21_1996_-1_-1","l",35.7,550,28.7
"nc21_1996_-1_-1","d",1.6,40,22.8
"nc21_1998_01_01","l",32.6,510,28.5
"nc21_1998_01_01","d",1.5,70,16.4
"nc21_1999_01_02","l",34.6,490,30
"nc21_1999_01_02","d",1.6,80,16
"nc21_2002_01_05","l",33.4,500,29.2
"nc21_2002_01_05","d",0,100,18.6
"nc21_2003_02_01","l",31.4,460,29.5
"nc21_2003_02_01","d",3.6,80,24.1
"nc21_2005_05_01","l",27.3,370,30.7
"nc21_2005_05_01","d",8.4,160,25.9
"nc21_2006_05_02","l",27.6,340,32.2
"nc21_2006_05_02","d",8.3,190,23.6
"nc21_2009_05_05","l",27.9,300,34.4
"nc21_2009_05_05","d",7.8,150,25.7
"nc21_2014_05_10","l",27.9,300,34.4
"nc21_2014_05_10","d",7.1,170,23.1
"nc21_2019_05_15","l",23.5,240,35.3
"nc21_2019_05_15","d",12.4,230,26.2
"nc22_1996_-1_-1","l",24.9,570,23.6
"nc22_1996_-1_-1","d",1.1,70,13.8
"nc22_1998_01_01","l",23.9,440,26.3
"nc22_1998_01_01","d",1.6,160,11.4
"nc22_1999_01_02","l",25.6,420,27.9
"nc22_1999_01_02","d",1.7,180,11
"nc22_2002_01_05","l",25.1,390,28.6
"nc22_2002_01_05","d",0.9,150,15.3
"nc22_2003_02_01","l",21.7,230,34.6
"nc22_2003_02_01","d",0.5,40,12.3
"nc22_2005_05_01","l",20.1,210,34.9
"nc22_2005_05_01","d",0,10,7.5
"nc22_2006_05_02","l",21.4,210,36
"nc22_2006_05_02","d",0.1,20,7.7
"nc22_2009_05_05","l",20.9,200,36.4
"nc22_2009_05_05","d",0.3,30,11.2
"nc22_2014_05_10","l",22.2,190,38.5
"nc22_2014_05_10","d",0.7,40,15.2
"nc22_2019_05_15","l",23.6,200,38.8
"nc22_2019_05_15","d",0.7,40,15.2
"nc22_2020_02_02","l",23.8,200,39
"nc22_2020_02_02","d",0.7,40,15.2
"nc23_1996_-1_-1","l",18.4,300,27.9
"nc23_1996_-1_-1","d",5.4,40,41.6
"nc23_1998_01_01","l",11.2,170,28.9
"nc23_1998_01_01","d",6.7,130,25.7
"nc23_1999_01_02","l",10,150,29.1
"nc23_1999_01_02","d",8.2,130,28.5
"nc23_2003_02_01","l",8.1,110,30.6
"nc23_2003_02_01","d",7,80,33.3
"nc23_2005_05_01","l",5.8,90,28.7
"nc23_2005_05_01","d",6.2,100,37.3
"nc23_2006_05_02","l",5.7,90,28.5
"nc23_2006_05_02","d",6.2,40,44.2
"nc23_2009_05_05","l",6,80,30.9
"nc23_2009_05_05","d",4.9,40,39.4
"nc23_2014_05_10","l",6.5,80,32.1
"nc23_2014_05_10","d",4.9,40,39.4
"nc23_2019_05_15","l",6.6,60,37.5
"nc23_2019_05_15","d",5.9,90,29.1
"nc24_1996_-1_-1","l",42.1,670,28.3
"nc24_1996_-1_-1","d",0.2,60,6.7
"nc24_1998_01_01","l",35.5,490,30.4
"nc24_1998_01_01","d",5.3,230,19.6
"nc24_1999_01_02","l",32.9,460,30.2
"nc24_1999_01_02","d",11.8,250,24.5
"nc24_2003_02_01","l",21.2,260,32.2
"nc24_2003_02_01","d",12.7,80,45
"nc24_2006_05_02","l",21.1,230,34.2
"nc24_2006_05_02","d",9.1,50,48.1
"nc24_2009_05_05","l",19.5,210,34.4
"nc24_2009_05_05","d",12.2,50,55.8
"nc24_2014_05_10","l",19.9,210,34.7
"nc24_2014_05_10","d",13.6,60,53.8
"nc24_2019_05_15","l",20.9,220,34.8
"nc24_2019_05_15","d",13.6,60,53.8
"nc25_1996_-1_-1","l",25.2,450,26.7
"nc25_1996_-1_-1","d",0.7,70,11
"nc25_2000_01_01","l",25.1,380,29
"nc25_2000_01_01","d",2.2,110,16
"nc25_2001_01_02","l",25.5,380,29.2
"nc25_2001_01_02","d",2.1,100,16.5
"nc25_2006_05_01","l",25,250,35.7
"nc25_2006_05_01","d",1.5,50,19.3
"nc25_2007_05_02","l",22.7,250,34
"nc25_2007_05_02","d",1.5,50,19.3
"nc25_2008_02_02","l",23.3,230,35.9
"nc25_2008_02_02","d",0,40,12.7
"nc25_2010_08_05","l",23.8,220,37.1
"nc25_2010_08_05","d",0.5,40,12.7
"nc25_2011_09_01","l",24.5,230,36.8
"nc25_2011_09_01","d",0,30,15.2
"nc25_2012_09_02","l",24.3,230,36.6
"nc25_2012_09_02","d",0.4,20,15.2
"nc25_2015_09_05","l",24.9,210,38.8
"nc25_2015_09_05","d",1.4,40,20.7
"nc25_2020_09_10","l",26.6,210,40.2
"nc25_2020_09_10","d",0.8,40,15.8
"nc28_1996_-1_-1","l",29.9,490,27.8
"nc28_1996_-1_-1","d",0.6,70,9.9
"nc28_1996_01_00","l",29.9,490,27.8
"nc28_1996_01_00","d",0.6,70,9.9
"nc28_1997_01_01","l",29.6,470,28.3
"nc28_1997_01_01","d",0.8,90,10.3
"nc28_1998_01_02","l",29.4,400,30.7
"nc28_1998_01_02","d",1.2,130,10.6
"nc28_2002_01_06","l",24.5,310,31.7
"nc28_2002_01_06","d",7.2,160,24
"nc28_2007_02_01","l",13,190,29.4
"nc28_2007_02_01","d",0,110,45.5
"nc28_2011_04_15","l",14.1,180,31.5
"nc28_2011_04_15","d",13.1,70,48.9
"nc28_2016_04_20","l",13.7,150,34.1
"nc28_2016_04_20","d",14.4,100,42.9
"nc30_1996_-1_-1","l",28.4,480,27.4
"nc30_1996_-1_-1","d",0.1,10,9.4
"nc30_1998_01_01","l",28.6,450,28.4
"nc30_1998_01_01","d",0.1,30,6.5
"nc30_1999_01_02","l",30.4,460,29
"nc30_1999_01_02","d",0.1,30,6.6
"nc30_2002_01_05","l",29.3,430,29.4
"nc30_2002_01_05","d",0.3,60,11.4
"nc30_2003_02_01","l",23.1,250,34.3
"nc30_2003_02_01","d",0.5,30,13.9
"nc30_2005_05_01","l",21.8,200,37.3
"nc30_2005_05_01","d",0.5,80,18.5
"nc30_2006_05_02","l",23.2,200,38.4
"nc30_2006_05_02","d",0.5,40,12.4
"nc30_2009_05_05","l",22.2,190,38.6
"nc30_2009_05_05","d",0.1,40,4.9
"nc30_2014_05_10","l",23.4,190,39.6
"nc30_2014_05_10","d",1.6,40,22.5
"nc30_2019_05_15","l",24.3,200,39.4
"nc30_2019_05_15","d",1.6,40,22.5
"nc31_1997_-1_-1","l",39,440,33.6
"nc31_1997_-1_-1","d",4.3,30,42.9
"nc31_1998_01_01","l",37.4,350,36.9
"nc31_1998_01_01","d",3.1,100,19.8
"nc31_1999_01_02","l",38.5,350,37.4
"nc31_1999_01_02","d",3.7,100,21.7
"nc31_2002_01_05","l",37.6,350,37
"nc31_2002_01_05","d",0,80,26.4
"nc31_2003_02_01","l",27.6,190,43
"nc31_2003_02_01","d",3.1,70,23.7
"nc31_2005_05_01","l",28.1,180,44.6
"nc31_2005_05_01","d",3.6,70,25.5
"nc31_2006_05_02","l",28.8,180,45.1
"nc31_2006_05_02","d",4.6,70,28.9
"nc31_2009_05_05","l",24.9,160,44.5
"nc31_2009_05_05","d",5.8,70,32.4
"nc31_2014_05_10","l",26.2,160,45.6
"nc31_2014_05_10","d",5.8,70,32.4
"nc31_2019_05_15","l",26,150,46.9
"nc31_2019_05_15","d",7.1,80,33.5
"nc35_1997_-2_-2","l",31.3,550,26.9
"nc35_1997_-2_-2","d",0.4,70,8.2
"nc35_2002_-1_-1","l",32.5,520,28.2
"nc35_2002_-1_-1","d",0.8,60,13
"nc35_2003_02_01","l",28.3,330,33.1
"nc35_2003_02_01","d",3.4,110,19.7
"nc35_2005_04_01","l",28.8,320,33.8
"nc35_2005_04_01","d",0,80,8.3
"nc35_2006_04_02","l",29.9,330,33.9
"nc35_2006_04_02","d",0.7,20,21.2
"nc35_2009_04_05","l",27.7,300,34.3
"nc35_2009_04_05","d",4.2,50,32.9
"nc35_2014_04_10","l",28.3,290,35.2
"nc35_2014_04_10","d",4.7,70,29.3
"nc35_2019_04_15","l",30.4,290,36.5
"nc35_2019_04_15","d",4.7,70,29.3
"nc35_2020_02_02","l",28.2,270,36.5
"nc35_2020_02_02","d",6.5,90,30.4
"nc36_1997_-2_-2","l",28.3,370,31.2
"nc36_1997_-2_-2","d",0.9,10,34.3
"nc36_2002_-1_-1","l",28.6,340,32.7
"nc36_2002_-1_-1","d",2.9,70,22.7
"nc36_2003_02_01","l",26.3,170,44.4
"nc36_2003_02_01","d",4.3,100,23.4
"nc36_2005_04_01","l",23.7,140,46.4
"nc36_2005_04_01","d",5.4,60,33.8
"nc36_2006_04_02","l",23.9,140,46.6
"nc36_2006_04_02","d",3.9,40,35.1
"nc36_2009_04_05","l",22.5,130,46.9
"nc36_2009_04_05","d",6.4,50,40.1
"nc36_2014_04_10","l",22.8,110,51.4
"nc36_2014_04_10","d",7.5,70,36.9
"nc36_2019_04_15","l",23.9,110,52.6
"nc36_2019_04_15","d",7.5,70,36.9
"nc36_2020_02_02","l",24,110,52.7
"nc36_2020_02_02","d",7.5,70,36.9
"nc37_1997_-2_-2","l",37.3,280,41.2
"nc37_1997_-2_-2","d",0.4,10,22.4
"nc37_2002_-1_-1","l",39,270,42.9
"nc37_2002_-1_-1","d",0.5,20,18.2
"nc37_2003_02_01","l",37.4,140,58.3
"nc37_2003_02_01","d",1.3,40,20.6
"nc37_2005_04_01","l",39,140,59.6
"nc37_2006_04_02","l",28.8,130,53.1
"nc37_2006_04_02","d",10.7,10,116.5
"nc37_2009_04_05","l",29.6,130,53.9
"nc37_2009_04_05","d",10.7,10,116.5
"nc37_2014_04_10","l",31.3,130,55.4
"nc37_2014_04_10","d",10.7,10,116.5
"nc37_2019_04_15","l",28.1,120,54.6
"nc37_2019_04_15","d",15.1,20,97.8
"nc37_2020_02_02","l",31.6,120,57.9
"nc37_2020_02_02","d",15.6,30,81.3
"nc38_2001_-1_-1","l",70.2,480,43.2
"nc38_2001_-1_-1","d",7.9,170,24.3
"nc38_2002_02_01","l",68.4,380,47.9
"nc38_2002_02_01","d",7.1,120,27.4
"nc38_2007_04_02","l",63.2,330,49.4
"nc38_2007_04_02","d",19.5,190,36.2
"nc38_2010_07_05","l",54.9,210,57.7
"nc38_2010_07_05","d",15.7,140,37.8
"nc38_2011_08_01","l",56.1,210,58.3
"nc38_2011_08_01","d",0,140,40.3
"nc38_2012_08_02","l",56,190,61.3
"nc38_2012_08_02","d",13.3,120,37.5
"nc38_2015_08_05","l",58.1,190,62.4
"nc38_2015_08_05","d",13.4,130,36.2
"nc38_2020_08_10","l",58.9,180,64.5
"nc38_2020_08_10","d",15.2,140,37.1
"nc39_2005_-1_-1","l",42.4,950,23.8
"nc39_2005_-1_-1","d",0.3,50,8.9
"nc39_2005_02_01","l",33.4,550,27.8
"nc39_2005_02_01","d",9.3,450,16.2
"nc39_2007_02_03","l",35.1,530,29
"nc39_2007_02_03","d",0.5,60,10.4
"nc39_2008_04_01","l",36,520,29.7
"nc39_2008_04_01","d",0.6,60,11.6
"nc39_2009_04_02","l",36.6,510,30.2
"nc39_2009_04_02","d",1,70,13.5
"nc39_2012_04_05","l",38.3,510,30.9
"nc39_2012_04_05","d",0.5,50,11
"nc39_2017_04_10","l",40.3,490,32.4
"nc39_2017_04_10","d",1.3,70,15.3
"nc41_2005_-1_-1","l",28.6,380,30.9
"nc41_2005_-1_-1","d",0.6,40,13.3
"nc41_2006_02_01","l",22.9,170,41.4
"nc41_2006_02_01","d",7.8,250,20
"nc42_2005_-1_-1","l",25,490,25.5
"nc42_2005_-1_-1","d",2.5,50,24.8
"nc43_2005_-1_-1","l",59.9,390,44.2
"nc43_2005_-1_-1","d",5.4,60,34
"nc44_2005_-1_-1","l",47.7,410,38.5
"nc44_2005_-1_-1","d",0.2,20,11.3
"nc44_2006_04_01","l",43.6,260,46.2
"nc44_2006_04_01","d",0.1,50,10.1
"nc44_2007_04_02","l",44.4,270,45.8
"nc44_2007_04_02","d",0.1,50,10.1
"nc44_2008_02_02","l",44.8,260,46.9
"nc44_2008_02_02","d",1.2,40,19
"nc44_2010_07_05","l",43.9,240,48.2
"nc44_2010_07_05","d",3,40,30.6
"nc44_2015_07_10","l",44.2,230,49.4
"nc44_2015_07_10","d",4.4,50,33.6
"nc44_2020_07_15","l",45.1,230,50
"nc44_2020_07_15","d",4.6,60,31.2
"nc45_2005_-1_-1","l",49.8,510,35.3
"nc45_2005_-1_-1","d",1.3,50,17.7
"nc46_2005_-1_-1","l",44.4,280,44.9
"nc46_2005_-1_-1","d",1.6,30,26
"nc46_2006_02_01","l",45.6,250,48.2
"nc46_2006_02_01","d",0,200,18
"nc47_2007_-1_-1","l",23.9,320,30.8
"nc47_2007_-1_-1","d",1,70,13.4
"nc47_2008_04_01","l",23.6,310,31.1
"nc47_2008_04_01","d",1.6,80,16.1
"nc47_2009_04_02","l",17.8,260,29.5
"nc47_2009_04_02","d",7.7,100,31.3
"nc47_2012_04_05","l",14,190,30.6
"nc47_2012_04_05","d",10.4,150,32.6
"nc47_2017_04_10","l",13.6,170,31.9
"nc47_2017_04_10","d",11.9,170,32.4
"nc48_2007_-1_-1","l",29.5,400,30.6
"nc48_2007_-1_-1","d",4.2,90,24.5
"nc48_2008_04_01","l",17.7,220,32
"nc48_2008_04_01","d",13.5,220,27.9
"nc48_2009_04_02","l",16.9,210,31.9
"nc48_2009_04_02","d",14,230,27.8
"nc48_2012_04_05","l",14.5,190,31.1
"nc48_2012_04_05","d",14.2,170,32.6
"nc48_2017_04_10","l",13.5,160,32.8
"nc48_2017_04_10","d",14.5,210,32.1
"nc49_2012_-1_-1","l",42.6,470,33.9
"nc49_2012_-1_-1","d",5.9,110,26.3
"nc50_2012_-1_-1","l",40.3,390,36.3
"nc50_2012_-1_-1","d",2.6,50,25.5
"nc51_2012_-1_-1","l",43.6,480,34
"nc51_2012_-1_-1","d",0.7,100,9.6
"nc51_2017_02_01","l",42.1,380,37.6
"nc51_2017_02_01","d",4,200,16
"nc51_2019_03_00","l",41.4,350,38.8
"nc51_2019_03_00","d",4.8,230,16.3
"nc51_2020_03_02","l",43.4,350,39.8
"nc51_2020_03_02","d",4.8,230,16.3
"nc52_2015_02_00","l",33,270,39.5
"nc52_2015_02_00","d",0.8,20,22
"nc52_2017_04_00","l",33,270,39.5
"nc52_2017_04_00","d",0.8,20,22
"nc52_2018_04_01","l",34.3,250,41.8
"nc52_2018_04_01","d",1,40,17.2
"nc52_2019_04_02","l",34.5,250,41.9
"nc52_2019_04_02","d",1,40,17.2
"nc53_2015_02_00","l",35,280,39.9
"nc53_2015_02_00","d",0.2,10,14.4
"nc53_2017_04_00","l",35,280,39.9
"nc53_2017_04_00","d",0.2,10,14.4
"nc53_2018_04_01","l",35.3,270,40.8
"nc53_2018_04_01","d",0.3,20,13.5
"nc53_2019_04_02","l",36.5,260,42.2
"nc53_2019_04_02","d",0.8,30,18.1
"nc54_2015_02_00","l",17.9,240,30.8
"nc54_2015_02_00","d",2.4,30,31.9
"nc54_2017_04_00","l",17.9,240,30.8
"nc54_2017_04_00","d",2.4,30,31.9
"nc54_2018_04_01","l",18.6,220,32.8
"nc54_2018_04_01","d",2.5,60,22.8
"nc54_2019_04_02","l",16.6,200,32.5
"nc54_2019_04_02","d",4.7,80,27.2
"nc55_2015_02_00","l",16.2,120,41.4
"nc55_2015_02_00","d",14.5,70,51.3
"nc55_2017_04_00","l",16.2,120,41.4
"nc55_2017_04_00","d",14.5,70,51.3
"nc55_2018_04_01","l",16.8,120,42.3
"nc55_2018_04_01","d",14.5,70,51.3
"nc55_2019_04_02","l",16.9,120,42.3
"nc55_2019_04_02","d",14.5,70,51.3
"nc56_2015_-1_-1","l",38.7,330,38.7
"nc56_2015_-1_-1","d",10.4,110,34.7
"nc57_2016_-1_-1","l",49.1,450,37.3
"nc57_2016_-1_-1","d",0,160,26.9
"nc58_2016_-1_-1","l",38.1,390,35.3
"nc58_2016_-1_-1","d",0.8,120,19.9
"nc59_2018_-1_-1","l",67.5,530,40.3
"nc59_2018_-1_-1","d",5.4,90,27.6
"nc60_2017_02_01","l",52.5,340,44.3
"nc60_2017_02_01","d",3.7,90,23
"nc60_2019_03_00","l",51.8,330,44.7
"nc60_2019_03_00","d",4.4,100,23.7
"nc60_2020_03_02","l",53,330,45.2
"nc60_2020_03_02","d",4.4,100,23.7
"nc61_2018_-2_-2","l",63.5,440,42.9
"nc62_2018_-1_-1","l",64.1,390,45.8
"nc62_2018_-1_-1","d",3.9,50,31.4
